thr1,macro_f1,accuracy,recall_AD
0.499,0.7696833536578902,0.8060764300973178,0.9163911195087387
0.516,0.7696107755328784,0.804177545691906,0.9031648559282003
0.498,0.7695289818310029,0.8060764300973178,0.9173358526216344
0.497,0.7690821280622586,0.8058390695466413,0.91828058573453
0.518,0.7682126075310735,0.8025160218371706,0.8998582900330656
0.485,0.7680512912911605,0.8053643484452884,0.9239489844119037
0.476,0.7670739789875357,0.8053643484452884,0.9305621162021729
0.478,0.7667034654338871,0.804652266793259,0.9272555503070382
0.535,0.7663112871270733,0.7982435319249941,0.8809636277751535
0.463,0.7648009773642718,0.804652266793259,0.940009447331129
0.458,0.763009005605022,0.8037028245905531,0.944733112895607
0.458,0.763009005605022,0.8037028245905531,0.944733112895607
0.457,0.7627349336278674,0.8034654640398766,0.9452054794520548
0.446,0.761078210397776,0.8027533823878471,0.9508738781294285
0.442,0.7590216745604897,0.8013292190837883,0.9532357109116675
0.441,0.7581971930873438,0.8006171374317589,0.9532357109116675
0.565,0.7564232633059005,0.7849513410871113,0.8441190363722249
0.567,0.7557767767425974,0.7840018988844054,0.8412848370335381
0.431,0.7553863323783098,0.7989556135770235,0.9584317430325933
0.433,0.7550812345438104,0.798718253026347,0.9579593764761455
0.422,0.7534097690751683,0.7980061713743176,0.9645725082664147
0.578,0.7528884478768889,0.7797294089722289,0.8275862068965517
0.584,0.7506170219251077,0.7766437218134347,0.819555975436939
0.415,0.7505773350674025,0.7961072869689058,0.9678790741615494
0.585,0.7505078699686504,0.7764063612627581,0.8186112423240435
0.59,0.7495204686580433,0.7747448374080228,0.8129428436466698
0.413,0.7489508461232939,0.794683123664847,0.9678790741615494
0.595,0.7470864525937172,0.7716591502492286,0.8058573452999528
0.595,0.7470864525937172,0.7716591502492286,0.8058573452999528
0.599,0.7450231981661307,0.7690481841917873,0.7997165800661313
