ethnicity_code,ethnicity_label,class,precision,recall,f1,support
0,0,AD,0.8986666666666666,0.9361111111111111,0.9170068027210885,1080
0,0,Mixed,0.7094474153297683,0.7210144927536232,0.7151841868823001,552
0,0,Non-AD,0.7413394919168591,0.6591375770020534,0.6978260869565217,487
1,1,AD,0.8375,0.8701298701298701,0.8535031847133757,77
1,1,Mixed,0.6268656716417911,0.75,0.6829268292682927,56
1,1,Non-AD,0.7777777777777778,0.6176470588235294,0.6885245901639345,68
2,2,AD,0.9230769230769231,0.8674698795180723,0.8944099378881989,83
2,2,Mixed,0.6875,0.75,0.717391304347826,44
2,2,Non-AD,0.6470588235294118,0.6666666666666666,0.6567164179104478,33
3,3,AD,0.9772727272727273,0.8431372549019608,0.9052631578947369,51
3,3,Mixed,0.6363636363636364,0.9130434782608695,0.75,23
3,3,Non-AD,0.75,0.631578947368421,0.6857142857142857,19
4,4,AD,0.9202898550724637,0.9136690647482014,0.9169675090252708,139
4,4,Mixed,0.7647058823529411,0.6964285714285714,0.7289719626168223,56
4,4,Non-AD,0.703125,0.7758620689655172,0.7377049180327868,58
5,5,AD,0.8973509933774835,0.9155405405405406,0.9063545150501673,296
5,5,Mixed,0.6878612716763006,0.7212121212121212,0.7041420118343196,165
5,5,Non-AD,0.7196969696969697,0.6506849315068494,0.6834532374100719,146
6,6,AD,0.926829268292683,0.8837209302325582,0.9047619047619047,86
6,6,Mixed,0.7755102040816326,0.7307692307692307,0.7524752475247524,52
6,6,Non-AD,0.6,0.75,0.6666666666666665,28
7,7,AD,0.9152542372881356,0.8852459016393442,0.9,61
7,7,Mixed,0.6896551724137931,0.625,0.6557377049180328,32
7,7,Non-AD,0.675,0.7714285714285715,0.72,35
8,8,AD,0.8181818181818182,1.0,0.9,9
8,8,Mixed,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
8,8,Non-AD,0.75,0.5,0.6,6
9,9,AD,0.9032258064516129,0.9545454545454546,0.9281767955801105,88
9,9,Mixed,0.5,0.6129032258064516,0.5507246376811595,31
9,9,Non-AD,0.7272727272727273,0.5333333333333333,0.6153846153846153,45
10,10,AD,0.9411764705882353,0.8888888888888888,0.9142857142857143,18
10,10,Mixed,0.25,0.5,0.3333333333333333,2
10,10,Non-AD,0.6666666666666666,0.5714285714285714,0.6153846153846153,7
11,11,AD,1.0,0.8275862068965517,0.9056603773584906,29
11,11,Mixed,0.5555555555555556,0.45454545454545453,0.5,11
11,11,Non-AD,0.4444444444444444,0.7272727272727273,0.5517241379310345,11
12,12,AD,1.0,0.8,0.888888888888889,10
12,12,Mixed,0.3333333333333333,1.0,0.5,1
12,12,Non-AD,0.75,0.75,0.75,4
13,13,AD,0.9,0.75,0.8181818181818182,12
13,13,Mixed,0.6,0.6,0.6,5
13,13,Non-AD,0.7692307692307693,0.9090909090909091,0.8333333333333333,11
14,14,AD,0.6666666666666666,1.0,0.8,4
14,14,Mixed,0.6666666666666666,0.5,0.5714285714285715,4
14,14,Non-AD,1.0,0.9285714285714286,0.962962962962963,14
15,15,AD,1.0,0.8333333333333334,0.9090909090909091,6
15,15,Mixed,0.0,0.0,0.0,0
15,15,Non-AD,1.0,0.5,0.6666666666666666,2
16,16,AD,1.0,0.75,0.8571428571428571,4
16,16,Mixed,0.0,0.0,0.0,0
16,16,Non-AD,0.0,0.0,0.0,0
17,17,AD,0.0,0.0,0.0,0
17,17,Mixed,0.0,0.0,0.0,0
17,17,Non-AD,1.0,0.5,0.6666666666666666,2
18,18,AD,1.0,1.0,1.0,1
18,18,Mixed,0.0,0.0,0.0,0
18,18,Non-AD,0.0,0.0,0.0,0
