ethnicity_code,ethnicity_label,n,accuracy,macro_recall,macro_f1
0,0,2119,0.8164228409627182,0.772087726955596,0.7766723588533034
1,1,201,0.7512437810945274,0.7459256429844666,0.7416515347152011
2,2,160,0.79375,0.7613788487282463,0.7561725533821576
3,3,93,0.8172043010752689,0.7959198935104171,0.780325814536341
4,4,253,0.83399209486166,0.7953199017140967,0.7945481298916267
5,5,607,0.7990115321252059,0.7624791977531703,0.7646499214315196
6,6,166,0.8132530120481928,0.7881633870005963,0.7746346063177745
7,7,128,0.7890625,0.7605581576893052,0.7585792349726775
8,8,18,0.7222222222222222,0.611111111111111,0.6111111111111112
9,9,164,0.774390243902439,0.7002606712284131,0.6980953495486285
10,10,27,0.7777777777777778,0.6534391534391534,0.621001221001221
11,11,51,0.7254901960784313,0.669801462904911,0.6524615050965084
12,12,15,0.8,0.85,0.7129629629629629
13,13,28,0.7857142857142857,0.753030303030303,0.7505050505050505
14,14,22,0.8636363636363636,0.8095238095238096,0.7781305114638449
15,15,8,0.75,0.4444444444444445,0.5252525252525252
16,16,4,0.75,0.25,0.2857142857142857
17,17,2,0.5,0.16666666666666666,0.2222222222222222
18,18,1,1.0,0.3333333333333333,0.3333333333333333
